,docs,topics
0,vote early! the majority of america is sick and tired of donald chump and his administration! biden harris 2020,1
1,"putting them in the worst possible light . ronald reagan would not win in this era of politics . trump won cause he was willing to actually go to war with the media , even if that made him look",0
2,debates hands down ! the fly landed on mike pence because it wanted to show all the voters who to vote for in november ... trump/pence fly 's choice as well !,-1
3,joe biden does not do anything how he going to win the presidency of the united state?,1
4,what part of mail in voting and absentee voting does this stupied man not understand. trump 2020,-1
5,there no way trump wins this election without cheating! .....again.....,0
6,"off . please dont believe the numbers sensible americans . dont get complacent . for all our sakes , please vote , vote , vote . we need a restoring of calm and thats not trump . the stakes if",0
7,let's after we all vote for joe biden we totally ignore him.,-1
8,not handling covid or correcting course to pull us out of this death spiral . 2 weeks left till the vote and now he tries to say the right things .... not fooled by this liar !,-1
9,"if one out of every 20 biden voters doesn end up voting , trump wins. don be that person who helped make it happen.",1
10,normal americans silent majority will vote trump . and i just think that the media forget this like they did in 2016. we seen how,0
11,"the ballot box to reclaim a decent conservatism . right now we have to defeat trump and gop enablers , vote blue .",-1
12," vote for biden-harris . if you can , vote during early voting . don trust the polls . don trust",1
13,"trump is a known commodity now. americans that voted for him in 2016 wanted something different and they got it, a train wreck.",0
14,in only 47 months ... we get a bit disappointed when ppl make it seem that they 're no longer voting republicans or a conservative voter because ppl say president trump is a racist or non caring ... president trump,-1
15,debates hands down ! the fly landed on mike pence because it wanted to show all the voters who to vote for in november ... trump/pence fly 's choice as well !,-1
16,undecided? think of the dead and vote trump out!,-1
17,"the republican party they should have stood up to trump when he went off the rails . i will not vote for cowards , be it draft dodger or scared yes men corrupt congressmen or women .",0
18,i agree i voted for reagan and he was n't perfect but he was honest he got on national tv and said evidently,0
19,"charlatan with one aim in mind - retain his power and stay out of prison . to anyone thinking of voting for him based on this charade of a turn around , please think again . he 'll flip back",0
20,"we all love reagan , trump , 2 of our best presidents ever ! ! ! ! ! we all voting red all across the board , we will save the republican party , our american way of life !",-1
21, why trump will smash the left and win says david horowitz .,0
22,yep and trump's going to win again! trump 2020!,0
23,debates hands down ! the fly landed on mike pence because it wanted to show all the voters who to vote for in november ... trump/pence fly 's choice as well !,-1
24,debates hands down ! the fly landed on mike pence because it wanted to show all the voters who to vote for in november ... trump/pence fly 's choice as well !,-1
25,debates hands down ! the fly landed on mike pence because it wanted to show all the voters who to vote for in november ... trump/pence fly 's choice as well !,-1
26,joe biden is covered under god mercy he will win the election because the country needs unity....and biden can bring the american people together,1
27,debates hands down ! the fly landed on mike pence because it wanted to show all the voters who to vote for in november ... trump/pence fly 's choice as well !,-1
28,"have seen fewer than 10 so far . i am sure , many of them will still be casting their votes for trump . but , they do not want the others to know about .",0
29,biden harris 2020. polls look good but we need to vote like we're losing,1
30,"this stupid crap of these idiots voting with write ins , is why trump can win . it will be the fault of every one of",0
31,biden is a corruption . do not look at the fake pool . just vote ... and president trump will win 2020. yes ! four more years president trump . we need you president trump .,1
32,be a smart republican and vote for biden - it is a secret and none of the other trumpists will know so vote blue.,-1
33,not even democrats liked hilary. no one can really hate biden. trump now has 4 years of work to vote on. totally different election.,1
34,the rural folks who only know fox is all he had and all he has ever had .... can not win unless you widen the base =trump is toast .,0
35,s possible joe biden will drop out harris will be the nominee and incomes hillary as vp then if harris wins she will drop out and hillary becomes president ! you have been warned ! ! ! what president trump,1
36,im voting trump,0
37,only gullible sheep vote for a crook like biden who has done nothing in 47 years except vote for every war including the war in iraq.,1
38, republicans are dreaming . they are now the party of trump . do they think this is going to end,0
39,"the money talk , the real president would be in the best interest of the people period , forget a vote , forget power , forget criticism ! ! ! he not a president to me and nancy isn the",-1
40,very stuped cnn fake jucky news i voted for president trump,0
41,only cnn believe this. trump will win again. i watch this video on november 4th. they said the same last 2016,0
42,the bidens are crooks and traitors. im not dumb enough to vote for the enemy of my country. seize his personal bank accounts.,1
43,"it does not matter how rr 's son thinks trump is not qualified for that position , american people voted trump in . however , it just makes me wonder how horrible the democrats are ? perhaps horrible enough",0
44,debates hands down ! the fly landed on mike pence because it wanted to show all the voters who to vote for in november ... trump/pence fly 's choice as well ! ..,-1
45,debates hands down ! the fly landed on mike pence because it wanted to show all the voters who to vote for in november ... trump/pence fly 's choice as well ! ...,-1
46,debates hands down ! the fly landed on mike pence because it wanted to show all the voters who to vote for in november ... trump/pence fly 's choice as well ! ..,-1
47,trump wants low voter turnout so go vote blue,-1
48,reason bernie sanders will never be president . they won fund the american war machine . trumpwas not supposed to win and by him winning he messed with a lot of republicans and democrats war money .,-1
49,"act , that he 's totally lost focus on the country itself . its as if he 's trying to win a private bet that he can have the affordable care act abolished , this is the perception that i",0
50,i understand him and i am voting for trump and yes i am black there are only two people to choose from and never one gives,-1
51,* it 's not enough to beat trump ... we need to annihilate trump . * everyone needs to vote this time -- even if you think trump is going to lose . we need to bury trump and,0
52,"- here 's why trump won1 . a lot of people disliked hillary2 . a lot of people did not vote for hillary , hate to say it because she 's a woman . yes you still have some men",-1
53,"barrett 's lacking lol you are making me laugh as a good joke usually will do , barrett has my vote oh so does president trump",-1
54,smart man vote joe biden,-1
55,some people will see it in do time. donald has no clue on issues that we face in nodding 2020biden vote,-1
56,"not these fake ass demorats ... `` lets look at this after the election `` . in other words , vote for us , then we wo n't do shit for you . its a pattern . wake up and",0
57,"donald trump said there 's no such thing as systemic inequality , biden `` says if you do not vote for me , you ai n't black '' who do you think is more trustworthy , democrats need to",-1
58,biden crime family has been hurting little children on video. do not vote pedos in,1
59,last election cnn was saying clinton will win. i think trump will win again,0
60,vote trump 2020/ to clean the swamp.,-1
61,"the votes swinging toward biden because of trumps handling of the pandemic , just as planned 10 months ago . planedemic",0
62,"they would do the same , besides the supreme court justices are not elected so the fact that people are voting has absolutely nothing to do with it",0
63,i am voting and trump needs to go he is horrible!!,0
64,"biden clan will be exposed for treason . if you are a democrat now is the time to change . vote republican . where does reagan jr. comes from , wake up dummy ! ! ! your do not have",1
65,yeah with the russians intervention trump might win,0
66,vote trump 2020 - i am covid-19 and i approved this message.,-1
67,vote trump 2020 - i am covid-19 and i approved this message.,-1
68,that's why trump will win this election!:),0
69,"there was no way trump could win in 2016 according to cnn, nbc, abc, msn and every other leftist media. stop with the bulls#!t",0
