,Unnamed: 0,docs,topics,target
0,0,putting them in the worst possible light ronald reagan would not win in this era of politics trump won cause he was willing to actually go to war with the media even if that made him look,0,biden
1,1,there no way trump wins this election without cheating again ,0,biden
2,2,off please dont believe the numbers sensible americans dont get complacent for all our sakes please vote vote vote we need a restoring of calm and thats not trump the stakes if,0,biden
3,3,normal americans silent majority will vote trump and i just think that the media forget this like they did in we seen how,0,biden
4,4,trump is a known commodity now americans that voted for him in wanted something different and they got it a train wreck ,0,biden
5,5,the republican party they should have stood up to trump when he went off the rails i will not vote for cowards be it draft dodger or scared yes men corrupt congressmen or women ,0,biden
6,6,i agree i voted for reagan and he was n t perfect but he was honest he got on national tv and said evidently,0,biden
7,7,charlatan with one aim in mind retain his power and stay out of prison to anyone thinking of voting for him based on this charade of a turn around please think again he ll flip back,0,biden
8,8, why trump will smash the left and win says david horowitz ,0,trump
9,9,yep and trump s going to win again trump ,0,trump
10,10,have seen fewer than so far i am sure many of them will still be casting their votes for trump but they do not want the others to know about ,0,biden
11,11,this stupid crap of these idiots voting with write ins is why trump can win it will be the fault of every one of,0,trump
12,12,the rural folks who only know fox is all he had and all he has ever had can not win unless you widen the base trump is toast ,0,trump
13,13,im voting trump,0,trump
14,14, republicans are dreaming they are now the party of trump do they think this is going to end,0,biden
15,15,very stuped cnn fake jucky news i voted for president trump,0,trump
16,16,only cnn believe this trump will win again i watch this video on november th they said the same last ,0,trump
17,17,it does not matter how rr s son thinks trump is not qualified for that position american people voted trump in however it just makes me wonder how horrible the democrats are perhaps horrible enough,0,biden
18,18,act that he s totally lost focus on the country itself its as if he s trying to win a private bet that he can have the affordable care act abolished this is the perception that i,0,biden
19,19, it s not enough to beat trump we need to annihilate trump everyone needs to vote this time even if you think trump is going to lose we need to bury trump and,0,biden
20,20,not these fake ass demorats lets look at this after the election in other words vote for us then we wo n t do shit for you its a pattern wake up and,0,biden
21,21,last election cnn was saying clinton will win i think trump will win again,0,trump
22,22,the votes swinging toward biden because of trumps handling of the pandemic just as planned months ago planedemic,0,biden
23,23,they would do the same besides the supreme court justices are not elected so the fact that people are voting has absolutely nothing to do with it,0,biden
24,24,i am voting and trump needs to go he is horrible ,0,biden
25,25,yeah with the russians intervention trump might win,0,trump
26,26,that s why trump will win this election ,0,trump
27,27,there was no way trump could win in according to cnn nbc abc msn and every other leftist media stop with the bulls t,0,biden
