,docs,topics,target
0,putting them in the worst possible light ronald reagan would not win in this era of politics trump won cause he was willing to actually go to war with the media even if that made him look,0,biden
1,there no way trump wins this election without cheating again ,0,biden
2,off please dont believe the numbers sensible americans dont get complacent for all our sakes please vote vote vote we need a restoring of calm and thats not trump the stakes if,0,biden
3,normal americans silent majority will vote trump and i just think that the media forget this like they did in we seen how,0,biden
4,trump is a known commodity now americans that voted for him in wanted something different and they got it a train wreck ,0,biden
5,the republican party they should have stood up to trump when he went off the rails i will not vote for cowards be it draft dodger or scared yes men corrupt congressmen or women ,0,biden
6,i agree i voted for reagan and he was n t perfect but he was honest he got on national tv and said evidently,0,biden
7,charlatan with one aim in mind retain his power and stay out of prison to anyone thinking of voting for him based on this charade of a turn around please think again he ll flip back,0,biden
8, why trump will smash the left and win says david horowitz ,0,trump
9,yep and trump s going to win again trump ,0,trump
10,have seen fewer than so far i am sure many of them will still be casting their votes for trump but they do not want the others to know about ,0,biden
11,this stupid crap of these idiots voting with write ins is why trump can win it will be the fault of every one of,0,trump
12,the rural folks who only know fox is all he had and all he has ever had can not win unless you widen the base trump is toast ,0,trump
13,im voting trump,0,trump
14, republicans are dreaming they are now the party of trump do they think this is going to end,0,biden
15,very stuped cnn fake jucky news i voted for president trump,0,trump
16,only cnn believe this trump will win again i watch this video on november th they said the same last ,0,trump
17,it does not matter how rr s son thinks trump is not qualified for that position american people voted trump in however it just makes me wonder how horrible the democrats are perhaps horrible enough,0,biden
18,act that he s totally lost focus on the country itself its as if he s trying to win a private bet that he can have the affordable care act abolished this is the perception that i,0,biden
19, it s not enough to beat trump we need to annihilate trump everyone needs to vote this time even if you think trump is going to lose we need to bury trump and,0,biden
20,not these fake ass demorats lets look at this after the election in other words vote for us then we wo n t do shit for you its a pattern wake up and,0,biden
21,last election cnn was saying clinton will win i think trump will win again,0,trump
22,the votes swinging toward biden because of trumps handling of the pandemic just as planned months ago planedemic,0,biden
23,they would do the same besides the supreme court justices are not elected so the fact that people are voting has absolutely nothing to do with it,0,biden
24,i am voting and trump needs to go he is horrible ,0,biden
25,yeah with the russians intervention trump might win,0,trump
26,that s why trump will win this election ,0,trump
27,there was no way trump could win in according to cnn nbc abc msn and every other leftist media stop with the bulls t,0,biden
28,a new name i think they may be loser for a decade at least because if democrats win the justice department may very well fully investigate trump and his decisions in office his appointed,0,trump
29,not one among the patriots learn more our country s history our filipino culture and tradition s go out and vote trump ,0,trump
30,no vote a vote for trump,0,trump
31,everybody best vote in person early polling results show trump leading especially in toss up states ,0,biden
32,vote vote trump trump please for the love of your life ,0,trump
33,i hope trump does not win,0,biden
34,leftists right up until you lose just like last time keep grasping for straws trump will win by an overwhelming margin no amount of democrat cheating will stop trump ,0,trump
35,said he s running for senator this country is going to be in such horrible shape if the democrats win this election if you hate trump that s perfectly fine go ahead and hate his buddy guts but,0,biden
36,party there s no longer a republican party it s a trump cult trump needs to be voted out or our nation is going to keep crumbling i am not a republican or a,0,biden
37,i really do not understand how people would still vote for trump i get it if you either vote all republican or all democrat but i think,0,trump
38,trump has got a new script writers he doesn care or understand the word vote vote vote vote vote for us that can not we are coming to the promised land ,0,trump
39,democrats underestimate the capacity and desire of republicans to cheat and steal the election at their peril every vote matters do not believe that the election is in the bag and you do not need to vote we,0,biden
40,the problem is that some people never vote the electoral is going to put trump back in office so it probably does not matter if you vote anyway they always do what they want ,0,biden
41,with his promises made promises kept resonates strongly with the american people i predict trump will win again ,0,trump
42,the sad fact that trump still has a chance of winning says a lot about where america is now ,0,biden
43,the bright side is trump wins again is that i get another years of watching republicans pull the biggest bs to justify whatever he does ,0,trump
44,i would vote for the former great president ronald reagan before trump as well ,0,trump
45,as an independent voter i vote for who i believe is the best candidate for the office of the presidency i voted for ronald,0,biden
46,donald trump does not care who supports him as long as they give him money or vote for him hell i bet if nambla openly supported or gave money to donald trump he d be,0,biden
47,your nursing home you think your speaking for the american people really that s why trump will win again and you do not represent no one but yourself when you speak we who is we,0,trump
48,if he goes talk to trump he has already made a choice either way it sways votes to that person,0,trump
49,are the the elite the connected guess what the other is voting trump i hope democrats get their hopes up again ,0,trump
50,win for how many anti trump eligible voters there are an overwhelming number of them do not care to vote some view it as others will win it for me while other people are just too,0,biden
51,the closet trump voters no longer exist those people are now ashamed they voted for trump in and will not in ,0,biden
52,if trump wins the kkk white supremacists racists and worst off all russia wins,0,biden
53,i gon na have to throw you under the bus if you lose first term was a fluke it won happen again ,0,biden
54,yeah i remember using polls showed hillary was going to win to trumps polls are shit and are n t a good way to judge anymore if anything,0,biden
55,thanku cnn for people to get and vote for trump,0,trump
56,the media is desperate to separate the election from the vote i ve heard three networks claim falsely that hillary clinton s lead was much smaller in well an,0,biden
57,fake polls trump will win,0,trump
58, trump is win,0,trump
59,it s good the majority are voting for president donald trump ,0,trump
60,it s good the majority are voting for president donald trump ,0,trump
61,i can stand trump but i find the msm and censorship so threatening that i will never vote for anyone cnn supports ,0,trump
62,cnn news super fake i am voting for president trump,0,trump
63,vote trump forever make liberals gag and cry again and again like in ,0,trump
64,vote for the party that you think is going to do good for you and your country no matter who wins do not be like i am rep or i am dem this is for the ones close,0,biden
65,trump got my vote because of fake news like you,0,trump
66,you snow flakes who agree with this apple who fell far from the tree are the exact reason president trump wins again and continues to move america towards the country of patriotism and honor and decency you liberals are,0,biden
67,i ve always respected ron reagan i voted for ronald reagan during his re election but i soon came to regret it because as a gay,0,biden
68,is incomplete and is missing some of his current goof up s so it s still growing his voting deterants irresponsible behavior with c shared psychosis at it s best,0,biden
69,trump not the only problem the people in the white house and the republican s that support him and we need vote all of them out,0,biden
70,as democrats whether they are rioting destroying property and murdering americans as we saw this summer we must vote republican november rd if we are going to preserve our freedom and our democratic republic ,0,biden
71,super important trump is absolute opposite of reagan he is the devil s puppet and only the idiotic vote for a clown like him bring the party of reagan and lincoln back ,0,biden
72,predicted al gore would beat bush which did not happen he cited well he won the popular vote yet predicted trump would win despite him losing the popular vote he can not have it,0,biden
73,what is happening with trump you are helping to destroy this country keep that in mind when you vote and who you vote for if you vote for trump or republican senators you are helping to destroy,0,trump
74,ronnie would have voted for trump right now facts,0,trump
75,trump doing anything to win nope his time is up,0,biden
76, they are n t rushing anything through and they are not doing anything illegitimate or illegal they have the votes they should push it through the seat is open now trump is president now you can,0,trump
77,trump will be winning big time as americans makedemocratscryagain ,0,biden
78,vote for trump vote for great america,0,trump
