,docs,topics,target
0,debates hands down the fly landed on mike pence because it wanted to show all the voters who to vote for in november trump pence fly s choice as well ,-1,trump
1,what part of mail in voting and absentee voting does this stupied man not understand trump ,-1,trump
2,let s after we all vote for joe biden we totally ignore him ,-1,biden
3,not handling covid or correcting course to pull us out of this death spiral weeks left till the vote and now he tries to say the right things not fooled by this liar ,-1,biden
4,the ballot box to reclaim a decent conservatism right now we have to defeat trump and gop enablers vote blue ,-1,biden
5,in only months we get a bit disappointed when ppl make it seem that they re no longer voting republicans or a conservative voter because ppl say president trump is a racist or non caring president trump,-1,biden
6,debates hands down the fly landed on mike pence because it wanted to show all the voters who to vote for in november trump pence fly s choice as well ,-1,trump
7,undecided think of the dead and vote trump out ,-1,biden
8,we all love reagan trump of our best presidents ever we all voting red all across the board we will save the republican party our american way of life ,-1,trump
9,debates hands down the fly landed on mike pence because it wanted to show all the voters who to vote for in november trump pence fly s choice as well ,-1,trump
10,debates hands down the fly landed on mike pence because it wanted to show all the voters who to vote for in november trump pence fly s choice as well ,-1,trump
11,debates hands down the fly landed on mike pence because it wanted to show all the voters who to vote for in november trump pence fly s choice as well ,-1,trump
12,debates hands down the fly landed on mike pence because it wanted to show all the voters who to vote for in november trump pence fly s choice as well ,-1,trump
13,be a smart republican and vote for biden it is a secret and none of the other trumpists will know so vote blue ,-1,biden
14,the money talk the real president would be in the best interest of the people period forget a vote forget power forget criticism he not a president to me and nancy isn the,-1,biden
15,debates hands down the fly landed on mike pence because it wanted to show all the voters who to vote for in november trump pence fly s choice as well ,-1,trump
16,debates hands down the fly landed on mike pence because it wanted to show all the voters who to vote for in november trump pence fly s choice as well ,-1,trump
17,debates hands down the fly landed on mike pence because it wanted to show all the voters who to vote for in november trump pence fly s choice as well ,-1,trump
18,trump wants low voter turnout so go vote blue,-1,biden
19,reason bernie sanders will never be president they won fund the american war machine trumpwas not supposed to win and by him winning he messed with a lot of republicans and democrats war money ,-1,biden
20,i understand him and i am voting for trump and yes i am black there are only two people to choose from and never one gives,-1,biden
21, here s why trump won a lot of people disliked hillary a lot of people did not vote for hillary hate to say it because she s a woman yes you still have some men,-1,biden
22,barrett s lacking lol you are making me laugh as a good joke usually will do barrett has my vote oh so does president trump,-1,trump
23,smart man vote joe biden,-1,biden
24,some people will see it in do time donald has no clue on issues that we face in nodding biden vote,-1,biden
25,donald trump said there s no such thing as systemic inequality biden says if you do not vote for me you ai n t black who do you think is more trustworthy democrats need to,-1,biden
26,vote trump to clean the swamp ,-1,trump
27,vote trump i am covid and i approved this message ,-1,trump
28,vote trump i am covid and i approved this message ,-1,trump
29,she is so senile please please get out and vote for trump,-1,trump
30,trump go out and vote maga ,-1,trump
31,all the democrats are being payed off if they turn against president trump they know if trump wins some democrats are gone from office including nancy pelosi ,-1,biden
32,i never voted for ron s dad though i would take him in a new yawk second over trump but,-1,trump
33,after watching hunter biden s chinese violent porn videos how can anyone vote for beijing biden if beijing biden cannot manage his son how is he going to manager this country ,-1,trump
34,vote trump ,-1,trump
35,i can not fathom why any woman would vote for donald trump he has no respect for them so they must be driven by something else,-1,biden
36,democrats stopping the flight from china in pandemic was xenophobic for him black people ain black if they vote for trump he lied about his collusion with china these are much worse than what you have,-1,biden
37,trump has been claiming voting by mail is fraudulent so please vote in person so that his claim is voided ,-1,trump
38,agree to work with trump kayne got suckered into running on the ballot in order to steal the black vote away from biden this is the road mr cube is headed down if he thinks trump is going,-1,biden
39,we asian family voted democrats since bil clinton but we re votingtrump this year no way joe were voting for u ,-1,trump
40,ice cube failed in donald trump stinking s like steve harvey west omarosa change will come when trump with his lies is loser of office ,-1,biden
41,those two states since jimmy carter s first election the people of this country are so worked up that voting may top million votes i am voting blue and i am not worried hillary is not,-1,biden
42,simone other than trump told him to read this no second chance for this bounch of hartles republicans disrespectful and laugh in everyone face when confronted with the truth vote them out,-1,biden
43,vote red people we cannot let the radical left highjack our country maga trump ,-1,trump
44,you the news are the problem making people believe biden wonplease vote vote vote vote let make sure this time is a blue tsunami lets make america great for everyone for the first time,-1,biden
45,lol trump says what he says just to try to persuade people to vote for him even if it s absurdly false there is nothing marxist about blm saying they,-1,biden
46,i do not care what the hell ice cube is taking about my entire family is black and we all will be voting for joe biden and kamala harris ,-1,biden
47,trump cares about winning period now trump is tying blacks winning to his own winning so let s win all aboard let s go take the red pill ,-1,trump
48,trump and his weasels are robbing social security robbing health care medicare be informed vote straight blue to save america from this trump crime family ,-1,trump
49,trump and his weasels are robbing social security robbing health care medicare be informed vote straight blue to save america from this trump crime family ,-1,trump
50,dems want to hurt american people because they think it will help trump win if we get a stimulus ,-1,trump
51,trump and his weasels are robbing social security robbing health care medicare be informed vote straight blue to save america from this trump crime family ,-1,trump
52,the people trying to dangle a stimulus carrot over the peoples head trying to trick us out of our votes and change their minds after we gave them our votes on a language technically nancy is calling you,-1,biden
53,the people trying to dangle a stimulus carrot over the peoples head trying to trick us out of our votes and change their minds after we gave them our votes on a language technically nancy is calling you,-1,biden
54,the people trying to dangle a stimulus carrot over the peoples head trying to trick us out of our votes and change their minds after we gave them our votes on a language technically nancy is calling you,-1,biden
55,we all know trump didn write that and we all know that that is the exact opposite of who trump is vote soon vote blue,-1,biden
56,said black kids are n t as smart as whites he said ain black to black people thinking of voting for another candidate biden is now on record wanting to defund charter schools charter schools are a,-1,biden
57,the people trying to dangle a stimulus carrot over the peoples head trying to trick us out of our votes and change their minds after we gave them our votes on a language technically nancy is calling you,-1,biden
58,the people trying to dangle a stimulus carrot over the peoples head trying to trick us out of our votes and change their minds after we gave them our votes on a language technically nancy is calling you,-1,biden
59,the people trying to dangle a stimulus carrot over the peoples head trying to trick us out of our votes and change their minds after we gave them our votes on a language technically nancy is calling you,-1,biden
60,trump and his weasels are robbing social security robbing health care medicare be informed vote straight blue to save america from this trump crime family ,-1,trump
61,the opposition is trash i am hispanic and i am asking my fellow black brothers and sisters to please vote trump biden and harris are communist and in the end they will not hold up their end of,-1,biden
62,why black people should not vote for biden ,-1,trump
63,why black people should not vote for biden ,-1,trump
64,why black people should not vote for biden ,-1,trump
65,why black people should not vote for biden ,-1,trump
66,junior thinks that president reagan would have voted for joe biden somebody who has done nothing for years i do not think so intelligence must have skipped a generation in the reagan family ,-1,trump
67,she does want to make a deal this crazy you see what the democrats are doing to the americans people wake up vote for trump ,-1,trump
68,did not he call them realists and murderers latinos who vote fire trump are crazy ,-1,trump
69,lol trump will win washington state and at least other states we are done with the swamp and cnn lies ,-1,trump
70,nancy is playing politics if this stimulus is passed it s a huge win for trump for helping the working class so if she can stall this out and make it seem,-1,biden
71,if sleepy joe wins this was definitely a rigged election ,-1,biden
72,trump should win unless you want sleepy joe to be stabbed in the back by kamala joe is too old can you imagine kamala as president ,-1,trump
73,biden has been a politician for years what has he done about police violence black people have been voting primary for the democrats for years what has it done for us especially black men ,-1,biden
74,for gods sake vote trump vote in person on election day ,-1,trump
75,if trump do not win we are all going to loss alot and joe is a man that cannot keep his hands off of all the women and children,-1,biden
76,she s why trump will win again ,-1,trump
77,or not every single person of age who marched in the streets this year for black lives matter is voting for biden most seniors who are offended by trump and the republicans for saying that they should just,-1,biden
78,if people vote for her and biden this country going suffer because they will lock u down and take away your rights and black mens u need to fear them,-1,biden
79,voting for trump in is not being conservative its down right being an evil idiot save america vote biden then do better than trump next time ,-1,biden
80,she probably works in one of trumps businesses the latinos that work for him will vote for him they do not want to lose their job ,-1,trump
81,trump was voted in on promises and will be re elected on his massive results ice cubes knows the truth ,-1,biden
82,just remember fellow republicans it s a secret ballot no one will ever know you voted for joe biden ,-1,biden
83,just remember fellow republicans it s a secret ballot no one will ever know you voted for joe biden ,-1,biden
84,joe can still win even if hunter is smoking crack ,-1,biden
85,then why show the map show trump winning in every state that will get the biden vote scare the sh t out of them,-1,biden
86,i am an independent that voted for obama in and abstained from voting in and for anybody that does not live in a,-1,biden
87,to sleep hunter biden is china s drug addict and you sick phucks are enabling him by voting for his pedophile father effing gross you should be ashamed of yourselves ,-1,biden
88,to increase the judges so they could pass his new deal plans the democratist of course want biden to win so they can be pardoned but if trump wins they want so seats on the supreme court to,-1,biden
89,trump vote red i do not want to live under socialist rule ,-1,trump
90,white man that served as vice president to the first black president race is still an issue in today vote i understand the history but how can you accuse any other part of racism when the problems exist biden,-1,biden
91,so vote for joe biden and make china even greater again smithfield foods in sioux falls south dakota,-1,trump
92,clearly u can see many people have on mask cnn is nutz l cant wait til trump win again,-1,trump
93,lot of blue voters due to the ongoing lies and corruption in the democrat ranks rthe only way biden could ever win this if if he fixes the election by fraud ,-1,biden
94,biden said you ain t black if you do not vote for me that s racist vote trump republican ,-1,biden
95,covid is biden campaign it s all bullshit trump will win with the largest win in history and no matter what he will win voter fraud will be,-1,trump
96,much respect to cube i thought he was going to trash trump he didn t much respect president trump and republicans stand with african americans vote trump republican ,-1,biden
97,a pawn for camel a and the left if you want to allow the destruction of the dem cities vote for this joke ,-1,biden
98,they are talking about suburban women while biden is losing for black men votes smh ,-1,biden
99,i still think tt trump the one your country should vote for he done alot for us from canada,-1,biden
100, votes for trump here,-1,trump
101,trump and his weasels robbing social security robbing medicare be informed vote to save america from this trump crime family ,-1,biden
102,willing to starve the entire country the voters on both sides their own supporters just to say they won the battle ,-1,biden
103,trump and his campaign is just using ppl like you and other blacks to keep blacks away from voting for biden and others voting for him you really believe they mean you guy s any good,-1,biden
104,mr trump will win against he is good president he is stand for china without trump china will create new v xedrus to kill more people let all vote for trump ,-1,trump
105,i am a russian and i sincerely don understand how americans can vote for trump when he allowed so many deaths my book about trump the room where it,-1,trump
