,docs,topics,target,Human Annotation
4142,to allow a democrat administration after all the corruption their leaders have pulled in years the reason trump won was to bring a business mind to the complacent politicians and hopefully it would work if it were,0,trump,Correct
9949,if donald trump wins the usa will now be an oligarchy officially and not a democracy,0,biden,Correct
16288,i have voted biden in person i have voted early,1,biden,Correct
22410,swing states could pull shenanigans because the individual states have an amazing amount of leeway in how their electoral votes are chosen and submitted they could declare having to wait beyond election day for a result is,-1,biden,Wrong
9186, do not trust the polls please vote trump out do not even for a second think trump is the underdog even though he a dog,0,biden,Correct
24009,vote trump or lose to marxism corruption uk opinion ,-1,trump,Correct
26812,if you watch cnn enough ul probly vote biden lol its democratic ofc theyl bash trump use your brains,-1,biden,Correct
14566,our former president tell all how important each and everyone make a mission to get out and vote we can put joe biden for president and vp kamala harris in the white hours in november rd ,1,trump,Wrong
10723,i think trump supporters are very proud to be voting for him this time around ,0,biden,Wrong
17399,if biden win people will be crying after losing their job due to lockdown biden will lockdown the country close,1,biden,Wrong
19320,vote trump,-1,trump,Correct
2996,it all rigged but in my opinion trump should win,0,trump,Correct
21961,all more of the same biden hollow promises i have to vote trump for my plan,-1,trump,Correct
12242,anyway november go out vote joe biden,1,biden,Correct
20417,joe take a break let obama run your campaign your surely gonna win hahahaha,-1,biden,Correct
22685,are galloping to their designated polling sites despite punitive waiting lines protracted delays in postal delivery of citizen requested voting ballots and most horrifically the unprecedented appearances of interloping menacing threats from by standing gun carrying self identified,-1,biden,Wrong
723,down your old republican party the last go round you tool do not you remember that s what won him the election oh he tore up or tore down that republican primary and debates who,0,biden,Correct
6005,why trump won in against clinton trump is a fresh face without no flaws tainted as a,0,trump,Correct
15746,time high also donald trump may create the ww if he win make sure yourself must vote for joe biden because he is the only one will safe your country and safe many people life ,1,biden,Correct
2330, every passing day till elections trump will stoop lower and lower degrade disrespect more blame vote early vote now trump out do not believe in polls like ,0,trump,Wrong
16381,vote joe biden ,1,biden,Correct
15806,to the confirmed national poll say the numbers are proportional to the total number of eligible americans who can vote in the u s roughly million this means that biden is ahead on the polls about more,1,biden,Correct
